review_text,review_stars,title
"This book serves as a comprehensive review cheatsheet for those who ALREADY knows and uses ML / data science in their academic programs/ daily works. It provides a good big picture of all the technics and knowledge. BUT it does not dive into the details. So if you're a newcomer to DS, don't buy this book. But as a seasoned DS practitioner, you will love this book to help brush up your knowledge. Also, there're a lot of typos in this book.... they need a better proofreader....",4.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"One of the greatest book ever for a data scientist. Everything is well thought about and I have learned so much from it. The only thing I wish is they release an ebook, so finding topics can be easier’",5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"What you will not find in this book is a comprehensive, thorough deep dive into each topic needed to be hired as a Data Scientist. It isn't a text book to teach you those concepts.What this book does cover are the topics that could be asked during the interview process in a condensed format, as a review. This book assumes you have already done what it takes to learn the material thoroughly, through coursework and projects, and it gives you guidance on which topics are most important during the interview process, so you can sharpen those skills and have them available to be showcased during your next interview. Going through the book shows you where learning gaps exist, where concepts are a little rusty, and gives you an idea of the hierarchy of importance for the vast amount of skills required in this field. It is then up to you to reach for other resources to fill in those gaps. This book encouraged me to get uncomfortable, get out of my own way and make connections to land my first job as a Data Scientist.I highly recommend this book for anyone beginning their journey in data science. It gives you the roadmap on how to land that first role and has been a valuable resource not only for me, but for everyone I have recommended it to as well.",5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"The book needs a second edition to fix the coding section errors and the broken hyperlink, but otherwise it's a great resource for interview prep. One of the authors also has a website called Data Lemur where you can access some of the SQL practice problems.",4.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
I have read half of the book so far and can tell that this is by far the best book to prepare for data science interviews.,4.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"I think this book is very good at covering a vast range of topics and providing relevant examples. There are several problem sets and the solutions are provided as well. The authors are very relatable and try to keep the different sections interesting by sharing anecdotes or providing personal experience. The only downfall in my opinion was the statistics and probability section. I felt as if the solutions were not explained well enough and became quite confusing. Overall, great book to get more knowledge and prepare for career advancement.",4.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"This book has everything you need to prepare for the data science interviews. It has probability, statistics, ML, product sense and case studies. It also has real questions and solutions asked in the interviews from large companies. I learnt a lot from this book!One of the must buys!",5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
I have been using it to prepare for interviews. It is way more useful than I expected. It is very structured and taught people from high level to details. Very very informative!I have recommended it to people around me!,5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
There are so many data science related topics out there and its honestly really difficult to pick out which ones are more important than another since they are all very important. Its also very easy to go super deep in studying one topic and never come up for air.This book prevents you from doing that. It tells you which topics you should be spending the most time on for now and keeps you on the right track. It also summarizes how far you should go for each topic so you're not pigeon-holing yourself for hours.,5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"Good book! Many problems and solutions, gives you a good picture of what an interview looks like.",4.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"Joe & Matt have done a fabulous job at distilling the data engineering lifecycle across different data environments. This book should be read by anyone who wants to understand data engineering - should be required reading material in data engineering schools/ bootcamps, etc.",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
A good book for all data professionals no matter where you are in your career. A must have for every data engineer,5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"Authors Joe & Matt have done great job! Anyone who is just starting with Data Engineering will benefit greatly by building the ground up knowledge in a structured way. For experienced practitioners, the advice sections are very beneficial!!",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"As a relative beginner to data engineering, I found this book to be a fantastic read.It delves into important core concepts, but also some smaller fields that are helpful for working with data. While the book mentions specific technologies like Airflow, Kafka, Snowflake etc., it mentions them in service of explaining the wider concepts and does not pigeonhole itself into a specific stack.I found the style of writing to be easy to follow and didn't feel confused, even when previously completely foreign concepts were being explained.The book is hefty but does not feel bloated. It's actually that information-dense and despite taking notes and highlighting info, I will be rereading specific parts to see if I can get better insights later down the line.The importance of coordinating with other people in your organization is emphasized throughout, in chapters about ""Whom You'll Be Working With"" regarding specific parts of the data lifecycle and how to try deriving maximum value in these interactions.Finally, some potential future trends in the area are highlighted, which was the icing on the cake for me.Overall, I think this is a must have for data engineers, particularly beginners to the field who will benefit greatly from the big-picture overview of what their jobs can and / or should entail.",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"I can’t recommend this book highly enough, this is the single most important book for all data engineers to read. It gives an excellent overview of essential ideas and principles across the data engineering lifecycle, including cross cutting undercurrents and does so in a technology agnostic way. For anyone whose work produces data for analysis or machine learning, this book will provide you with a principled way to make the right decisions. I’m looking forward to what comes next from Joe and Matt!",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"Here are my brief thoughts on the book ""Fundamentals of Data Engineering: Plan and Build Robust Data Systems"" (Joe Reis & Matt Housley 2022):This book seems to be an all-in-one solid foundation for DE. It's not a tutorial-like ""how-to"" book, instead it focuses on defining & describing the entire landscape of Data Engineering as it stands in 2022, laying it out and meticulously going through the Data Engineering lifecycle step-by-step so the reader gets a broad and thorough understanding of what's involved in each step.Even though Data Engineering is a really fast-changing field, the authors focused on all of the underlying principles of DE that are unlikely to change in the immediate future.Some examples of notable content (besides all of the standard fundamentals):- History - there is a good amount of focus not only on where we are now, but also how we got here and how Data practices and technology have evolved since the 80's up to 2022. So it's not just a ""here's all the shiny new tech"" book - its very much rooted in an understanding of the classic fundamentals. There's even a small section on Kimball vs Bill Inmon, lol.- The ""Designing Good Data Architecture"" & ""Principles of Good Data Architecture"" sections have really good, detailed principles and opinions on how one should go about designing data systems, This kind of fundamental info is generally hard to coherently piece together into a proper framework when just reading articles and doing tutorials.- The Storage section is really good. The authors go through damn near every possible type of storage in existence, and they go into depth with their pros and cons. This is important considering the current landscape of possible cloud solutions, distributed/streaming storage, different pricing tiers and options, etc. The section lays out the big ideas and trends in storage, as well as all of the considerations one has to make when choosing storage options.- There is a chapter specifically on ""Serving Data for Analytics, Machine Learning, and Reverse ETL"" where the authors describe all of the different ways we can serve data to a downstream stakeholder (DS, ML Engineer, Business Leaders etc) - this has good up-to-date info on what different stakeholders are likely to need, and how to work with them.- Chapter 11 ""The Future of Data Engineering"" is a forward-looking section with great insight into where the field of DE will be going in the next 5 years or so.I see this as an important book, up there with the classics like DWT (Kimball) or DDIA (Kleppmann). In fact, Fundamentals of Data Engineering is now the first book I would suggest to anyone going into this field. It covers so much of the landscape to give a well-rounded base of knowledge for Data Engineering in 2022.",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
This book givers a thorough overview of all data engineering fundamentals. There is even a little FinOps discussion which was helpful. Joe and Matt know what they are talking about and I highly recommend this book.,5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"This book is exceptional and a must read for anyone in the data space. The authors not only provide information about best practices, but also historical and market context as how we got to this point. In addition, their inclusion of additional resources within each chapter is a gold mine of information to dive deeper.For my work personally, I'm scaling up our data team's ability to enable easier access to data for analytics and build the foundation for ML use cases. This book is serving as a great point of reference on this journey.Finally, I have been leading a book club at my job where we are currently reading this book. We finally have common language among Data Sci, Eng, and other business stakeholders in the book club to discuss how we can improve our data infrastructure to better serve the business.You must get this book!",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"Awesome content, a very comprehensive review of the whole Data Engineering spectrum, I really liked how each topic was analyzed under thru prism of undercurrents: Security / Data management / DataOps / Data architecture / Orchestration / Software engineering; so no matter where you are in your Data Engineering journey you want this book to take you along.",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
I've read several data science and machine learning books as my work moved into large health-based datasets and predictive modeling. This book was recommended by a colleague since I wanted to differential data data engineering within the broader field. This text complimented my continued professional development by providing practical and clear information and examples.,5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
It is amazing how fast it was delivered to Colombia and without additional charge.,5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
I enjoyed the writing style and the simplicity of the complex concepts.,5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
This is one of the essential materials for early stage of Data Scientist to understand the subject meaningfully. I recommend all stage of data scientist and anlayst should have this book.,5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"I came to this with very little stats and linear algebra knowledge and no calculus. The author goes into just enough detail to be able to understand the math without getting overwhelmed, and the Python implementations really help break up the content and stick the math into your mind. The chapters build on each other with a final chapter on Neural Networks integrating everything you have learned previously. This chapter was a bit hard for me to completely follow and I plan to revisit it after some additional math training. This is a book I think I will go back to again and again through the next couple of years.",5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"My team references this book often when explaining why they formed a conclusion from data.  It's core to our business and this book outlines so comprehensively the methods of doing it right, identifying bias, and ensuring our conclusions are accurate.This is not a how-to book.  It's not even a book on math, really.  This is the ""why"" behind working with data.  It is the definitive handbook on data that every data scientist, analyst, business manager should understand before working with data.If you work with data - and just as importantly - if you rely on a team that works with data, this needs to be on your bookshelf.",5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"I read the first 20 pages and it was pure filler. It discussed things like order of operations, what rational and  irrational numbers are and what a variable is. The text seems to assume that the reader has did not get farther than basic arithmetic in school and has never written a program. The text tells the reader that things like derivatives exist and then goes on to assure us that we don't have worry because python does it all for us.",3.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
Not sure how such a non-sensical book could be published by O'reilly,1.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"This is a terrific book for anyone who wants to understand the math necessary for data science. It's also great for experienced professionals who want to brush up on their mathematics. I fall into the latter camp. Usually, I crack open an math book and plug away at the code but this book embeds the code with examples and concise explanations. As a nerd book junkie, I love this one.",5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
My math skills are rusty since I left school for so many years. This book makes so many complex math topic simple to understand. The author definitely took a very careful approach to 1. Give real life example 2. Avoid complex math deduction. 3 Avoid unnecessary complexity and focus on core concepts.I felt all my college CS knowledge are back. This helps me on studying other machine learning books more smoothly.Highly recommend.,5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
Could have been a great book but for the mathematical formulae are not properly formatted/printed. Hope something could be done to revise such errors,2.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"It's an excellent, even mandatory book for your Data Science shelf.  I am glad I bought it.  I am 67% of the way through reading this book.  It has nowhere near enough material on some areas, though, and is just missing some material that you need for DS.  That's actually OK because of course no single book is enough to cover everything you need to know in a field.  Look how many books you may have bought just to get an undergrad degree, and I bet it was not just one book.So here is a list of good and bad about this excellent book.Its good points:The profit curve.  After reading this book, I will never use Accuracy to select a model any more, as that's nearly a worthless metric especially when there are marginal costs and marginal profits involved in an application scenario.  The book is just amazingly good on describing how to select models based on estimated profit, and foremost the profit curve, and selected other supporting curves like ROC area under curve.The expected profit computation and the cost-benefit matrix as a partner to the confusion matrix. This is great stuff.  It's not even described in other data science courses that I have taken.Other good points:  ...And don't worry about the other good points (there are some). The profit curve analysis, and the lead-up to that, are superior.Its bad points:p.224: ""We will train on the complete dataset and then test on the same dataset we trained on.""  What follows next the rest of the chapter is just an inappropriate error analysis, because it is overly optimistic (but otherwise the techniques are great.)  The models have seen the training data.  We should never completely assess (test) -- and base the entire remainder of the chapter material -- on error (accuracy) estimates produced from data that the models have already seen.In most chapters, there is just not enough detail in the material, to enable this book to be used as a ""correct reference"" basis against which to write your own working code as you follow along with the text in whatever computer language you want to use for analysis.In summary:The book is outstanding.  It is necessary for your DS bookshelf, but on the other hand it is nowhere near sufficient.The data science course sequence by Johns Hopkins University identifies many of the elements of a nice overall outline as to what DS practitioners need to be able to do (and this is not even sufficient either):Reproducible research; Experimental design; R programming (or python, or perhaps SAS or Octave, but some mathy language for sure); Exploratory data analysis; Regression models; Statistical inference; Practical machine learning; Scientific writing; Developing data products; Big data techniques (e.g. Apache Spark programming or at least MapReduce-style programming); SQL and NoSQL databases; Concurrent, distributed, and parallel programming; Advanced statistics (such as multiple testing corrections).This book by Provost et al gives just a part of the necessary DS material.  However the part it provides, is essential.  I wish the biological data scientists in academia would adopt and integrate the cost-benefit matrix idea and the profit curve idea into their model selection techniques instead of just using the accuracy metric mostly.Also a data scientist could do several follow-on added-value extensions to the profit curve chapter.  You could produce Revenue curve (or Cost) since sometimes that matters more.  You could quickly find alternatives which are nearly equi-profitable to the optimal profit but which exhibit (less revenue, less cost) or (more revenue, more cost).  You could detail the model selection and profit consequences of fixed budgets.  You could further assess the implications of marginal profit analysis on the optimal quantity when the profitability ratio changes.  You could directly assess the data science solution against the best business wisdom solution and estimate what amount of profit is lost when using the old business wisdom decisions.  It's a testament to this book's strong value that you can do a lot more based on its material.Nice work.  Recommended.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Data Science for Business by Foster Provost and Tom Fawcett is a very important book about data mining and data analytic thinking.  In 1971, Abbie Hoffman shocked the world when he demanded hippie readers (at the time, a likely oxymoron) ""Steal This Book"".  While I wouldn't go so far as to encourage current and future data scientists to shoplift, I will demand that they READ THIS BOOK!Not long ago, data was difficult and expensive to come by. Today, we're living in a world of far too much data, vast amounts of cheap computing power, and way too many poorly defined questions.  Mix them all together and you're guaranteed to make a mess.Going from data dearth to plethora presents substantive issues.  In business, the balance between gut feel decision-making and analysis paralysis is changing, rapidly.  Whether it moves too far from gut to paralysis, only time will tell. Through Data Science for Business, Provost and Fawcett offer practitioners a guide to equilibrium.Read this book and you'll find yourself moving briskly down the road towards data analytic enlightenment. While not highly technical, the authors covers each topic with enough rigor to appreciate the tools being presented and the insights being offered.From the outset, the authors are clear about the book's objectives: ""The primary goals of this book are to help you view business problems from a data perspective and understand principles of extracting useful knowledge from data.  There is fundamental structure to data-analytic thinking, and basic principals that should be understood.  There are also particular areas where intuition, creativity, common sense, and domain knowledge must be brought to bear…  As you get better at data-analytic thinking you will develop intuition as to how and where to apply creativity and domain knowledge.""This paragraph makes me think of all those undergrad and graduate students studying Statistics at Universities all over the world, my daughter included, who are being bombarded by one math or statistics class after another (Calculus III, Math Stat I and II, Linear Algebra, etc.).  Yet, far too often, they enter the real world lacking ""data analytic thinking"" or a sense of ""basic principals""  They do, however, have a sense of being overwhelmed and under prepared.  The epic battle between ""frequentists"" and ""Bayesians"", takes a back seat to what should be the real controversy in statistics departments around the world, the balance between ""application"" and ""theory"".  The book's ""primary goals"" should be the walking orders of every statistics program at any college or university anywhere.From the outset (page 2), the authors state,  ""Data mining is a craft.  It involves the application of a substantial amount of science and technology, but the proper application still involves art as well."" Absolutely true!  It's great to read this stuff!  This is followed by a concise discussion of CRISP-DM, a well-defined data mining process, whose concepts are elementary, essential, and integral to the responsible, proper, and successful practice of data mining.From this point on, the authors proceed to accomplish their primary goals.  They present such topics as predictive modeling, correlation, classification, clustering, regression, logistic regression, linear discriminants, and much more.  Their presentations are user friendly, their real world examples are interesting, and their guidance and insights are extremely valuable.My criticisms are limited to their website.  The Data Science for Business site leaves me wanting more real world examples to enjoy, access to more resources and tools of the trade, more references to peruse, and a more rigorous approach to some of the solutions.  Perhaps Data Science for Business the sequel is on the horizon?Whether you're a seasoned statistician (or, data scientist), a young aspiring novice, or an adventurous business person looking to expand his/her horizons, Data Science for Business by Foster Provost and Tom Fawcett is well worth the price of admission and the reading time you'll invest.Foster Provost and Tom Fawcett state, ""[i]deally, we envision a book that any data scientist would give to his collaborators…""  I'll do them one better, I'm giving it to my daughter!",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"This book is so good I've added it to my Top 10 technical/business books ever read. My son gave me his copy and said ""I kept seeing this book on the desk of people I respect"". I'm currently on my second reading of the book in order to reinforce the concepts, and I bought a copy of the book for someone at work.So what's so good? The book is really well thought out and the grammatical style is top notch. The book leads the reader into some fairly complex topics without overwhelming you. That being said, some of the algorithms an statistical models can be a little daunting, but the book is designed to introduce the reader to a range of tools and models and not to make you an expert overnight. I found the book to be both pragmatic and concise, while covering a lot of ground. An excellent text for someone who is interested in the background behind many AI and machine learning algorithms, and are looking for guidance on when to consider different approaches. Highly recommended, particularly for folks like me, who have dabbled in ML already and are looking to take their knowledge of Data Science to the next level.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Book arrived as described. It also arrived a week earlier, which is great because I got it just before my class. Thank you!This is a reliable company.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"From what I’ve read so far, it’s an informative book. I wish it would go into more depth with some subjects since I’m trying to transition to a data science career, but I am learning some things that I didn’t know before on how to approach answering certain business questions with machine learning. I think I would need another book for the in depth analyses how-to but this book is good for understanding concepts.",4.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Context: I'm an MD, needing to communicate with data scientist to build a product.I've this far only read two chapters. My pattern-recognition ;) this far however, with an assessment that this will be applicable to the rest of the book is two-fold:1) Too verbose!Too much stuff on explaining the structure and purpose of the book. Could've been said way more succinctly, and therefore more clearly. The effect is that I start skimming.2) Not 'sharp' enough.The best non-fiction written for non-expert manages to reduce the complex into explaining the essence. Not making it simpler, and reducing crucial comprehension. But reducing the complex into its crucial essence.When going over different types of tasks; classification, regression, similarity matching, clustering, co-occurence grouping - the way they are described, there is essentially no difference between i.e. clustering, similarity matching and clustering; they're all classifications - yes, there is a difference between regression.In order for this to be truly helpful even for an absolute layman as myself, it needs to add enough crucial, essential distinctions to make the categories mutually exclusive. I can think about it, I can look it up. The book would however been better if the information was more 'sharply' communicated.So why 4-star?Because it is a beautiful balance for the amateur. Explaining basic concepts instead of trendy-applications.For future versions though, correcting for verbosity and greater specificity (essence) will make it a true winner.",4.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"This book is ideal for anyone looking to understand data science, and especially those who might interact with data scientists at work.  Roughly half the book deals with the essential data mining algorithms. The focus is on understanding what the algorithms do, not the details of how they do it, so implementation details are omitted. The math is certainly discussed, but kept to a minimum, and coupled with comprehensible, plain English explanations of each algorithm. Each chapter includes a case study illustrating how the algorithm can be used for a real-world problem.The other half of the book (interspersed between the algorithms) deals with issues relating to design, implementation, evaluation, and deployment of models. Without understanding these crucial ideas, the algorithmic knowledge is useless. For example, the right and wrong techniques for evaluating model performance are discussed at length. A businessperson without adequate background could easily be misled by certain evaluation metrics, and the reader is taught to evaluate model performance with a critical eye.  There is also a chapter on evaluating and critiquing data mining proposals, which nicely ties together the algorithmic, business, and practical concepts discussed earlier in the book. Some case studies are revisited in several chapters at increasing levels of sophistication, making the book feel like a cohesive whole rather than a mere compilation of chapters. If you’re coming from a technical background, you will learn a great deal about the business and practical/implementation aspects of analytics. If you’re coming from a business background, you will gain an understanding of what your data can do for you, and how to use it to your benefit. The book is an intense but very pleasant read, even funny at times. Highly recommended!",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Needless to say, it's the best book I've ever read that perfectly combines the technical details and high level intuition.""Big data"" might sound daunting recent days since AI, machine learning, deep learning based applications are in wide spread whenever you open your browse, turn on your cell phone or etc. But you will feel much less whelmed by reading this book. It provides you with a unique experience in that it bridges the practical business problems and machine learning models.  Roughly speaking, most of books I've read are short in either of two domains: interpretability and rigorousness.  This is fills in the hole pretty well.If you are a data science manager and want to better understand what your team members are doing, this book gives you a snapshot. If you are a data scientist with years' training in statistics and computer science, this book can help you develop your understanding of the business problems in practice and offer you a different angle of analyzing them.In conclusion, 5/5 star, a must-have book that should be on the shelf of each other wants to work in the data related field.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Data Science for Business is an ideal book for introducing someone to Data Science. The authors have tried to break down their knowledge into simple explanations. I am skeptical of non-technical Data Science books, but this one works well.In the beginning we are shown the motivations for Data Science and what fields they apply to. Some examples include movie recommendations, credit card charges, telecom churn rate, and automated analysis of stock market news. The book avoids going into the highly technical parts of creating the system but gives you links for where to go.They do not really reveal the whole Data Science stack. For example Hadoop was mentioned as an implementation of MapReduce but they said going into Hadoop configuration would be too detailed for this type of book. I tended to agree, and even being a progammer myself, I thought they made the right choice to leave that out.Where the book shines is in the explanations. I am very familiar with expected value calculations and there was a chapter on this. It was a much better high level discussion than I have seen elsewhere, and they mentioned possible pitfalls of the expected value framework.I liked that the emphasis was on deciding what problem to solve in Data Science. The title of the book is appropriate as it is not just about analyzing data, but figuring out the business case. If you are new to Data Science or looking to get a high level overview this book is an great place to start.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Let me first say the content of this book is great - my apologies to the authors for docking a star. That said, I should have docked more based on how the kindle version displays. Look at the size of the equation examples on the bottom half of the image with the pink highlight. Even when I enlarge the text (see the other image without a page number) the equations are horribly tiny. The image with a page number at the bottom shows you how it is displayed in a PDF version (which I had to get AFTER I purchased this from amazon). (Apologizes for not being able to give image numbers, but the pics uploaded in a different order than I submitted them).Terrible quality on amazon's part and this book is frequently used as a college text book, so knowing the equations are essential.",4.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
Excelente libro,5.0 out of 5 stars,Data Science from Scratch: First Principles with Python
"In my personal opinion, this is a book to bridge the gap between an experienced mathematician/statician and practical machine learning. The book is more focused on describing how to implement mathematical formulas in Python than to actually explain the math behind it.I am a proficient Python Engineer and I can read the code and understand what is being done, but the author makes no effort to explain how it reached to that conclusion, or why it matters. The author does implement the mathematical formulas in Python skillfully, it misses the point of the book though.Another big problem with this book is that it assumes you can learn mathematics by just doing mathematics without understanding the why. It is frustrating to read and follow the author implement mathematical formulas without explaining why. I believe this is the case because the author DOES assume you have the required math to follow the book. I believe the author should add a section in the preface that list the prerequisites for this book:- Linear Algebra- Statistics- Probability- Vector Calculus- Continuous OptimizationAbove all, it is a good book if used as an index on where to start to understand Data Science, but it definitely doesn't fulfill the promise of being ""from scratch"". From scratch IMHO means you dive into the internals of Data Science algorithms. I had the expectation that this book was going to be more like ""Designing Data-Intensive Applications"" for Data Science where the ""why"" is as important as the ""how"". Data Science from scratch is a book about the how, with no effort to dive into the why. The book does provide the vocabulary for me to discuss Data Science with practitioners, but I didn't feel it got me any closer to becoming a practitioner myself.BTW, the fact that book is monochrome doesn't matter the font and figures are very clear and readable.",3.0 out of 5 stars,Data Science from Scratch: First Principles with Python
